transaction_id,customer_id,product_id,quantity,unit_price,transaction_date,status
T001,C001,P001,2,1200,2026-09-20,COMPLETED
T002,C002,P002,1,2500,2026-09-20,COMPLETED
T003,C003,P003,3,800,2026-09-20,COMPLETED
T004,C004,P004,1,4500,2026-09-21,COMPLETED
T005,C005,P005,2,1500,2026-09-21,COMPLETED
T006,C006,P001,1,1200,2026-09-21,CANCELLED
T007,C007,P002,2,2500,2026-09-22,COMPLETED
T008,C008,P003,4,800,2026-09-22,COMPLETED
T009,C009,P004,1,4500,2026-09-22,COMPLETED
T010,C010,P005,3,1500,2026-09-23,COMPLETED
T011,C011,P001,-1,1200,2026-09-23,COMPLETED
T012,C012,P002,2,2500,2026-09-23,COMPLETED
